STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/26/1990,6.26,0,0,0,,62,49,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/27/1990,5.82,0,0,0,,73,48,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/28/1990,9.84,0,0,0,,74,58,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/29/1990,14.54,0.64,0,0,,58,50,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/30/1990,9.4,0.34,0,0,,59,51,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/1/1990,11.41,0,0,0,,76,54,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/2/1990,13.42,0,0,0,,68,56,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/3/1990,10.96,0,0,0,,64,48,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/4/1990,10.96,0.22,0,0,,57,49,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/5/1990,8.28,0.77,0,0,,67,48,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/6/1990,12.97,0.04,0,0,,65,45,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/7/1990,11.86,0,0,0,,71,51,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/8/1990,8.5,0,0,0,,64,50,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/9/1990,8.5,0,0,0,,69,51,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/10/1990,16.33,1.49,0,0,,62,57,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/11/1990,21.25,0,0,0,,62,51,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/12/1990,10.51,0,0,0,,57,46,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/13/1990,14.09,0.05,0,0,,62,52,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/14/1990,12.97,0,0,0,,74,52,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/15/1990,11.86,0,0,0,,67,54,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/16/1990,8.5,0.91,0,0,,61,56,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/17/1990,9.84,0.4,0,0,,63,53,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/18/1990,15.66,0,0,0,,69,50,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/19/1990,14.54,0,0,0,,72,54,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/20/1990,13.42,0,0,0,,61,51,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/21/1990,13.65,0.2,0,0,,51,44,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/22/1990,11.41,0,0,0,,62,43,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/23/1990,9.84,0,0,0,,64,49,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/24/1990,8.5,0.01,0,0,,63,50,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/25/1990,11.41,0,0,0,,71,53,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/26/1990,9.17,0.12,0,0,,60,55,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/27/1990,10.29,0,0,0,,69,55,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/28/1990,8.95,0,0,0,,66,54,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/29/1990,14.09,2.7,0,0,,63,53,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/30/1990,17.45,0.06,0,0,,72,53,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/31/1990,12.53,0,0,0,,73,52,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/1/1990,11.63,0,0,0,,77,56,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/2/1990,11.41,0,0,0,,73,60,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/3/1990,15.43,0.17,0,0,,68,62,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/4/1990,14.76,0,0,0,,76,55,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/5/1990,11.63,0,0,0,,70,51,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/6/1990,14.99,0,0,0,,67,56,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/7/1990,10.74,0.23,0,0,,84,59,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/8/1990,8.05,0.25,0,0,,74,60,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/9/1990,7.61,0.62,0,0,,81,62,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/10/1990,9.62,0.11,0,0,,83,66,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/11/1990,13.65,0.14,0,0,,70,58,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/12/1990,10.29,0,0,0,,79,57,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/13/1990,6.93,0,0,0,,72,56,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/14/1990,4.92,0.15,0,0,,65,61,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/15/1990,4.92,0,0,0,,71,58,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/16/1990,4.7,0,0,0,,73,60,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/17/1990,6.71,0,0,0,,74,61,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/18/1990,9.17,0.2,0,0,,72,63,,
